TlmId,Facility,AppReconcile,MsgEvent,MsgType,UMID,MsgControlId,MsgDatetime,App,ReceiveDatetime,ActivityDatetime
1.38201E+11,COCYS,MT56,VXU^V04,VXU,MT_COCYS_VXU_YSIMMUN.1.79944,YSIMMUN.1.79944,10/3/23 0:49,MT,10/3/23 0:49,10/3/23 0:49
1.38201E+11,COCJM,MT56,VXU^V04,VXU,MT_COCJM_VXU_JMIMMUN.1.95574,JMIMMUN.1.95574,10/3/23 0:49,MT,10/3/23 0:49,10/3/23 0:49
1.38201E+11,COCVW,MT56,VXU^V04,VXU,MT_COCVW_VXU_VWIMMUN.1.92434,VWIMMUN.1.92434,10/3/23 0:51,MT,10/3/23 0:51,10/3/23 0:51
1.38201E+11,COCRK,MT56,VXU^V04,VXU,MT_COCRK_VXU_RKIMMUN.1.37329,RKIMMUN.1.37329,9/26/23 22:54,MT,9/26/23 22:54,9/26/23 22:54
1.38201E+11,COCHM,MT56,VXU^V04,VXU,MT_COCHM_VXU_HMIMMUN.1.27745,HMIMMUN.1.27745,10/2/23 23:51,MT,10/2/23 23:51,10/2/23 23:51
1.38201E+11,COCWM,MT56,VXU^V04,VXU,MT_COCWM_VXU_WMIMMUN.1.205418,WMIMMUN.1.205418,9/23/23 18:18,MT,9/23/23 18:18,9/23/23 18:18
1.38201E+11,COCBR,MT56,VXU^V04,VXU,MT_COCBR_VXU_BRIMMUN.1.142661,BRIMMUN.1.142661,9/14/23 12:43,MT,9/14/23 12:43,9/14/23 12:43
1.38201E+11,COCBR,MT56,VXU^V04,VXU,MT_COCBR_VXU_BRIMMUN.1.142662,BRIMMUN.1.142662,9/14/23 12:43,MT,9/14/23 12:43,9/14/23 12:43
1.38201E+11,COCAS,MT56,VXU^V04,VXU,MT_COCAS_VXU_ASIMMUN.1.102343,ASIMMUN.1.102343,9/26/23 23:14,MT,9/26/23 23:14,9/26/23 23:14
1.38201E+11,COCWF,MT56,VXU^V04,VXU,MT_COCWF_VXU_WFIMMUN.1.34607,WFIMMUN.1.34607,10/2/23 21:51,MT,10/2/23 21:51,10/2/23 21:51
1.38201E+11,COCSAA,MT56,VXU^V04,VXU,MT_COCSAA_VXU_SAAIMMUN.1.34564,SAAIMMUN.1.34564,10/3/23 0:45,MT,10/3/23 0:45,10/3/23 0:45
1.38201E+11,COCPZ,MT56,VXU^V04,VXU,MT_COCPZ_VXU_PZIMMUN.1.35676,PZIMMUN.1.35676,9/15/23 12:05,MT,9/15/23 12:05,9/15/23 12:05
1.38201E+11,COCSZ,MT56,VXU^V04,VXU,MT_COCSZ_VXU_SZIMMUN.1.163991,SZIMMUN.1.163991,10/2/23 21:58,MT,10/2/23 21:58,10/2/23 21:58
1.38201E+11,COCZS,MT56,VXU^V04,VXU,MT_COCZS_VXU_ZSIMMUN.1.88796,ZSIMMUN.1.88796,9/12/23 18:06,MT,9/12/23 18:06,9/12/23 18:06
1.38201E+11,COCAG,MT56,VXU^V04,VXU,MT_COCAG_VXU_AGIMMUN.1.88787,AGIMMUN.1.88787,10/3/23 1:11,MT,10/3/23 1:11,10/3/23 1:11
1.38201E+11,COCCBQ,MT56,VXU^V04,VXU,MT_COCCBQ_VXU_CBQIMMUN.1.80611,CBQIMMUN.1.80611,10/2/23 19:21,MT,10/2/23 19:21,10/2/23 19:21
